FileName,BrainRegion,Platform,Dataset,StatsModel
AAA_Illumina_LCM.AMY_ModelLM2.csv,AAA,Illumina,LCM.AMY,ModelLM2
AB_Illumina_LCM.AMY_ModelLM2.csv,AB,Illumina,LCM.AMY,ModelLM2
ACG_Illumina_Freeze3_ModelLM4.csv,ACG,Illumina,Freeze3,ModelLM4
ACG_Illumina_Pritzker960_ModelLM4.csv,ACG,Illumina,Pritzker960,ModelLM4
AHA_Illumina_LCM.AMY_ModelLM2.csv,AHA,Illumina,LCM.AMY,ModelLM2
AMY_Illumina_Freeze3_ModelLM4.csv,AMY,Illumina,Freeze3,ModelLM4
AMY_Illumina_Pritzker960_ModelLM4.csv,AMY,Illumina,Pritzker960,ModelLM4
ANTHAL_Illumina_Freeze3_ModelLM4.csv,ANTHAL,Illumina,Freeze3,ModelLM4
ANTHAL_Illumina_Pritzker960_ModelLM4.csv,ANTHAL,Illumina,Pritzker960,ModelLM4
Basal_Illumina_LCM.AMY_ModelLM2.csv,Basal,Illumina,LCM.AMY,ModelLM2
CB_Illumina_Freeze3_ModelLM4.csv,CB,Illumina,Freeze3,ModelLM4
CB_Illumina_Pritzker960_ModelLM4.csv,CB,Illumina,Pritzker960,ModelLM4
Central_Illumina_LCM.AMY_ModelLM2.csv,Central,Illumina,LCM.AMY,ModelLM2
CO_Illumina_LCM.AMY_ModelLM2.csv,CO,Illumina,LCM.AMY,ModelLM2
DLPFC_Illumina_Freeze3_ModelLM4.csv,DLPFC,Illumina,Freeze3,ModelLM4
DLPFC_Illumina_Pritzker960_ModelLM4.csv,DLPFC,Illumina,Pritzker960,ModelLM4
HC_Illumina_Freeze3_ModelLM4.csv,HC,Illumina,Freeze3,ModelLM4
HC_Illumina_LCM.HC_ModelLM5.csv,HC,Illumina,LCM.HC,ModelLM5
HC_Illumina_Pritzker960_ModelLM4.csv,HC,Illumina,Pritzker960,ModelLM4
Lateral_Illumina_LCM.AMY_ModelLM2.csv,Lateral,Illumina,LCM.AMY,ModelLM2
Medial_Illumina_LCM.AMY_ModelLM2.csv,Medial,Illumina,LCM.AMY,ModelLM2
MTHAL_Illumina_Freeze3_ModelLM4.csv,MTHAL,Illumina,Freeze3,ModelLM4
MTHAL_Illumina_Pritzker960_ModelLM4.csv,MTHAL,Illumina,Pritzker960,ModelLM4
NACC_Illumina_Freeze3_ModelLM4.csv,NACC,Illumina,Freeze3,ModelLM4
NACC_Illumina_Pritzker960_ModelLM4.csv,NACC,Illumina,Pritzker960,ModelLM4
PAC_Illumina_LCM.AMY_ModelLM2.csv,PAC,Illumina,LCM.AMY,ModelLM2
PCG_Illumina_Freeze3_ModelLM4.csv,PCG,Illumina,Freeze3,ModelLM4
PCG_Illumina_Pritzker960_ModelLM4.csv,PCG,Illumina,Pritzker960,ModelLM4
PL_Illumina_LCM.AMY_ModelLM2.csv,PL,Illumina,LCM.AMY,ModelLM2
SCG_Illumina_Freeze3_ModelLM4.csv,SCG,Illumina,Freeze3,ModelLM4
SCG_Illumina_Pritzker960_ModelLM4.csv,SCG,Illumina,Pritzker960,ModelLM4
